INLINE PersonalSkillTable,Skill
None,0x0
0x01 Serol,0x0
0x02 Thalia,0x0
0x03 Shino,BlitzID
0x04 Jess,0x0
0x05 Lazarus,0x0
0x06 Orinoco,0x0
0x07 Vathek,0x0
0x08 Esther,0x0
0x09 Colm,0x0
0x0A Garcia,0x0
0x0B Innes,0x0
0x0C Lute,0x0
0x0D Natasha,0x0
0x0E Cormag,0x0
0x0F Ephraim,0x0
0x10 Forde,0x0
0x11 Kyle,0x0
0x12 Amelia,0x0
0x13 Artur,0x0
0x14 Gerik,0x0
0x15 Tethys,0x0
0x16 Marisa,0x0
0x17 Saleh,0x0
0x18 Ewan,0x0
0x19 L'Arachel,0x0
0x1A Dozla,0x0
0x1B -,0x0
0x1C Rennac,0x0
0x1D Duessel,0x0
0x1E Myrrh,0x0
0x1F Knoll,0x0
0x20 Joshua,0x0
0x21 Syrene,0x0
0x22 Tana,0x0
0x23 Lyon,0x0
0x24 Orson,0x0
0x25 Glen,0x0
0x26 Selena,0x0
0x27 Valter,0x0
0x28 Riev,0x0
0x29 Caellach,0x0
0x2A Fado,0x0
0x2B Ismaire,0x0
0x2C Hayden,0x0
0x2D -,0x0
0x2E -,0x0
0x2F -,0x0
0x30 -,0x0
0x31 -,0x0
0x32 -,0x0
0x33 -,0x0
0x34 -,0x0
0x35 -,0x0
0x36 -,0x0
0x37 -,0x0
0x38 -,0x0
0x39 -,0x0
0x3A -,0x0
0x3B -,0x0
0x3C -,0x0
0x3D -,0x0
0x3E Knoll's Summon,0x0
0x3F Ewan's Summon,0x0
0x40 Lyon,0x0
0x41 Morva,0x0
0x42 Orson,0x0
0x43 Valter,0x0
0x44 Selena,0x0
0x45 Valter,0x0
0x46 Lorien,0x0
0x47 Griss,0x0
0x48 Helga,0x0
0x49 -,0x0
0x4A -,0x0
0x4B Novala (Ch 6),0x0
0x4C Murray (Ch 7),0x0
0x4D Tirado (Ch 8),0x0
0x4E Binks (Ch 9A),0x0
0x4F Pablo (Ch 10A),0x0
0x50 Maelduin (Ch 12A),0x0
0x51 Aias (Ch 13A),0x0
0x52 Carlyle (Ch 14A),0x0
0x53 Caellach (Ch 15),0x0
0x54 Pablo (Ch 13A),0x0
0x55 -,0x0
0x56 Gorgon (Ch 18),0x0
0x57 Riev (Ch 19 & 20),0x0
0x58 -,0x0
0x59 -,0x0
0x5A Gheb (Ch 9B),0x0
0x5B Beran (Ch 10B),0x0
0x5C Cyclops (Ch 12B),0x0
0x5D Wight (Ch 11A),0x0
0x5E Deathgoyle (Ch 11B),0x0
0x5F Entombed (Monster Boss),0x0
0x60 -,0x0
0x61 -,0x0
0x62 -,0x0
0x63 -,0x0
0x64 Hunter,0x0
0x65 Bandit (Carcino?),0x0
0x66 Brigand,0x0
0x67 Bandit (Unused?),0x0
0x68 O'Neill (Prologue),0x0
0x69 Glen (Cutscene),0x0
0x6A Zonta (Ch 5x),0x0
0x6B Vigarde (Ch 14B),0x0
0x6C Lyon (Ch Final),0x0
0x6D Orson (Ch 16),0x0
0x6E -,0x0
0x6F -,0x0
0x70 -,0x0
0x71 -,0x0
0x72 -,0x0
0x73 -,0x0
0x74 -,0x0
0x75 -,0x0
0x76 -,0x0
0x77 -,0x0
0x78 -,0x0
0x79 -,0x0
0x7A -,0x0
0x7B -,0x0
0x7C -,0x0
0x7D -,0x0
0x7E -,0x0
0x7F -,0x0
0x80 Grado Soldier (Main),0x0
0x81 -,0x0
0x82 -,0x0
0x83 -,0x0
0x84 -,0x0
0x85 -,0x0
0x86 -,0x0
0x87 -,0x0
0x88 -,0x0
0x89 Grado (Duessel's),0x0
0x8A Grado (Duessel's),0x0
0x8B Grado (Duessel's),0x0
0x8C Grado,0x0
0x8D Grado Remnant (Main),0x0
0x8E Cutthroat,0x0
0x8F Grado Remnant (Cutscene/C16),0x0
0x90 Grado Remnant (C16),0x0
0x91 Grado Remnant (C16),0x0
0x92 Wraith (Sage),0x0
0x93 Wraith (Swords),0x0
0x94 Wraith (Axes),0x0
0x95 -,0x0
0x96 -,0x0
0x97 -,0x0
0x98 -,0x0
0x99 -,0x0
0x9A -,0x0
0x9B -,0x0
0x9C -,0x0
0x9D -,0x0
0x9E -,0x0
0x9F -,0x0
0xA0 -,0x0
0xA1 -,0x0
0xA2 -,0x0
0xA3 -,0x0
0xA4 -,0x0
0xA5 -,0x0
0xA6 -,0x0
0xA7 Mercenary (Ch 9A),0x0
0xA8 Mercenary (Ch 10A),0x0
0xA9 Remnant/Merc (Ch 13A),0x0
0xAA Monster,0x0
0xAB Monster,0x0
0xAC Monster,0x0
0xAD Monster,0x0
0xAE Monster,0x0
0xAF Monster,0x0
0xB0 Monster,0x0
0xB1 Monster,0x0
0xB2 Monster,0x0
0xB3 Monster,0x0
0xB4 Monster,0x0
0xB5 Monster,0x0
0xB6 Monster,0x0
0xB7 Monster,0x0
0xB8 Monster,0x0
0xB9 Monster,0x0
0xBA Monster (Gorgon Egg?),0x0
0xBB Monster,0x0
0xBC Monster,0x0
0xBD Monster (Dracozombie?),0x0
0xBE Demon King,0x0
0xBF -,0x0
0xC0 Frelian,0x0
0xC1 Frelian,0x0
0xC2 -,0x0
0xC3 -,0x0
0xC4 -,0x0
0xC5 Fado (Renais),0x0
0xC6 -,0x0
0xC7 Hayden (Frelia),0x0
0xC8 Mansel (Rausten),0x0
0xC9 Klimt (Carcino),0x0
0xCA Dara (Caer Pelyn),0x0
0xCB Ismaire (Jehanna),0x0
0xCC Pegasus Messenger,0x0
0xCD Rausten Knight,0x0
0xCE Rausten Knight,0x0
0xCF -,0x0
0xD0 -,0x0
0xD1 -,0x0
0xD2 -,0x0
0xD3 -,0x0
0xD4 -,0x0
0xD5 -,0x0
0xD6 -,0x0
0xD7 -,0x0
0xD8 -,0x0
0xD9 -,0x0
0xDA -,0x0
0xDB -,0x0
0xDC -,0x0
0xDD -,0x0
0xDE -,0x0
0xDF -,0x0
0xE0 -,0x0
0xE1 -,0x0
0xE2 -,0x0
0xE3 -,0x0
0xE4 -,0x0
0xE5 -,0x0
0xE6 -,0x0
0xE7 -,0x0
0xE8 -,0x0
0xE9 -,0x0
0xEA -,0x0
0xEB -,0x0
0xEC -,0x0
0xED -,0x0
0xEE -,0x0
0xEF -,0x0
0xF0 -,0x0
0xF1 -,0x0
0xF2 -,0x0
0xF3 -,0x0
0xF4 River Folk Child (F),0x0
0xF5 River Folk (F),0x0
0xF6 River Folk (M),0x0
0xF7 River Folk (F),0x0
0xF8 River Folk Child,0x0
0xF9 Renais Citizen 1 (Child),0x0
0xFA Renais Citizen 2,0x0
0xFB Renais Citizen 3,0x0
0xFC Old 'Citizen',0x0
0xFD Enemy (Arena),0x0
0xFE Wall,0x0
0xFF Snag,0x0
